rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
6,PEPE/USDT,4,Watch,32,15m,0,4,ADX_5m=25.9 ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.2
7,LAUNCHCOIN/USDT,12,🔥 HOT,96,15m,0,12,ADX_5m=46.9 CCI_5m=-172.4 WilliamsR_5m=-91.6 ADX_15m=49.2 ROC_15m=8.3 RSI_1h=70.4 ADX_1h=36.7 CCI_1h=170.2 ROC_1h=26.7 ADX_4h=33.5 CCI_4h=235.8 ROC_4h=49.0
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,0,11,ADX_5m=44.1 CCI_5m=-187.5 WilliamsR_5m=-98.8 ADX_15m=49.0 ROC_15m=7.2 ADX_1h=36.5 CCI_1h=164.3 ROC_1h=25.0 ADX_4h=33.5 CCI_4h=230.5 ROC_4h=47.0
2,UNI/USDT,9,🚀 Pump,72,15m,0,9,ADX_15m=31.3 CCI_15m=148.4 RSI_1h=87.8 ADX_1h=68.0 ROC_1h=16.6 RSI_4h=88.7 ADX_4h=37.0 CCI_4h=172.7 ROC_4h=31.6
3,ETH/USDT,5,Watch,40,15m,0,5,WilliamsR_5m=-89.0 ADX_1h=39.1 ADX_4h=29.9 CCI_4h=126.8 ROC_4h=9.9
4,AVAX/USDT,4,Watch,32,15m,0,4,CCI_5m=-100.1 WilliamsR_5m=-84.8 ADX_4h=25.4 CCI_4h=113.6
5,PEPE/USDT,4,Watch,32,15m,0,4,ADX_5m=25.0 ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.4
6,BTC/USDT,2,Weak,16,15m,0,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,0,2,CCI_4h=109.3 ROC_4h=5.4
1,LAUNCHCOIN/USDT,12,🔥 HOT,96,15m,1,12,ADX_5m=44.3 CCI_5m=-164.3 WilliamsR_5m=-82.2 ADX_15m=48.9 ROC_15m=8.3 RSI_1h=70.5 ADX_1h=36.5 CCI_1h=168.5 ROC_1h=26.8 ADX_4h=33.5 CCI_4h=234.3 ROC_4h=49.1
2,UNI/USDT,9,🚀 Pump,72,15m,1,9,ADX_15m=31.3 CCI_15m=152.4 RSI_1h=87.8 ADX_1h=68.0 ROC_1h=16.7 RSI_4h=88.8 ADX_4h=37.0 CCI_4h=173.0 ROC_4h=31.7
3,ETH/USDT,6,Watch,48,15m,1,6,WilliamsR_5m=-85.8 ADX_1h=39.1 RSI_4h=70.1 ADX_4h=29.9 CCI_4h=127.0 ROC_4h=10.0
4,AVAX/USDT,4,Watch,32,15m,1,4,CCI_5m=-100.6 WilliamsR_5m=-87.0 ADX_4h=25.4 CCI_4h=113.2
5,PEPE/USDT,3,Weak,24,15m,1,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.4
6,BTC/USDT,2,Weak,16,15m,1,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,1,2,CCI_4h=109.2 ROC_4h=5.4
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,2,11,ADX_5m=44.3 CCI_5m=-150.9 ADX_15m=48.9 ROC_15m=8.7 RSI_1h=71.2 ADX_1h=36.5 CCI_1h=169.5 ROC_1h=27.2 ADX_4h=33.5 CCI_4h=235.2 ROC_4h=49.6
2,UNI/USDT,9,🚀 Pump,72,15m,2,9,ADX_15m=31.3 CCI_15m=148.4 RSI_1h=87.8 ADX_1h=68.0 ROC_1h=16.6 RSI_4h=88.8 ADX_4h=37.0 CCI_4h=172.8 ROC_4h=31.6
3,ETH/USDT,6,Watch,48,15m,2,6,WilliamsR_5m=-84.9 ADX_1h=39.1 RSI_4h=70.2 ADX_4h=29.9 CCI_4h=127.2 ROC_4h=10.0
4,AVAX/USDT,4,Watch,32,15m,2,4,WilliamsR_5m=-82.6 ADX_4h=25.4 CCI_4h=114.6 ROC_4h=5.1
5,PEPE/USDT,3,Weak,24,15m,2,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.8
6,BTC/USDT,2,Weak,16,15m,2,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,2,2,CCI_4h=110.5 ROC_4h=5.6
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,3,11,ADX_5m=40.7 CCI_5m=-159.3 WilliamsR_5m=-98.2 ADX_15m=48.9 ROC_15m=7.0 ADX_1h=36.5 CCI_1h=165.1 ROC_1h=25.4 ADX_4h=33.5 CCI_4h=230.6 ROC_4h=47.0
2,UNI/USDT,9,🚀 Pump,72,15m,3,9,ADX_15m=31.3 CCI_15m=147.1 RSI_1h=87.8 ADX_1h=68.0 ROC_1h=16.6 RSI_4h=88.7 ADX_4h=37.0 CCI_4h=172.7 ROC_4h=31.5
3,ETH/USDT,5,Watch,40,15m,3,5,WilliamsR_5m=-90.6 ADX_1h=39.1 ADX_4h=29.9 CCI_4h=126.6 ROC_4h=9.9
4,AVAX/USDT,3,Weak,24,15m,3,3,WilliamsR_5m=-82.6 ADX_4h=25.4 CCI_4h=113.6
5,PEPE/USDT,3,Weak,24,15m,3,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.5
6,BTC/USDT,2,Weak,16,15m,3,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,3,2,CCI_4h=109.3 ROC_4h=5.4
1,LAUNCHCOIN/USDT,12,🔥 HOT,96,15m,4,12,ADX_5m=41.3 CCI_5m=-192.8 WilliamsR_5m=-93.6 ROC_5m=-5.2 ADX_15m=48.2 ROC_15m=5.8 ADX_1h=36.0 CCI_1h=158.4 ROC_1h=24.3 ADX_4h=33.5 CCI_4h=224.7 ROC_4h=45.9
2,UNI/USDT,9,🚀 Pump,72,15m,4,9,ADX_15m=31.3 CCI_15m=156.4 RSI_1h=88.1 ADX_1h=68.0 ROC_1h=17.0 RSI_4h=89.0 ADX_4h=37.0 CCI_4h=174.2 ROC_4h=32.2
3,ETH/USDT,6,Watch,48,15m,4,6,WilliamsR_5m=-87.2 ADX_1h=39.1 RSI_4h=70.2 ADX_4h=29.9 CCI_4h=127.2 ROC_4h=10.0
4,AVAX/USDT,4,Watch,32,15m,4,4,WilliamsR_5m=-82.6 ADX_4h=25.4 CCI_4h=113.9 ROC_4h=5.0
5,PEPE/USDT,3,Weak,24,15m,4,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.5
6,BTC/USDT,2,Weak,16,15m,4,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,4,2,CCI_4h=109.8 ROC_4h=5.5
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,5,11,ADX_5m=39.4 CCI_5m=-194.3 WilliamsR_5m=-96.3 ROC_5m=-6.4 ADX_15m=46.8 ADX_1h=35.9 CCI_1h=153.8 ROC_1h=23.0 ADX_4h=33.5 CCI_4h=220.7 ROC_4h=44.3
2,UNI/USDT,9,🚀 Pump,72,15m,5,9,ADX_15m=31.1 CCI_15m=135.7 RSI_1h=87.9 ADX_1h=68.0 ROC_1h=16.8 RSI_4h=88.8 ADX_4h=37.0 CCI_4h=173.6 ROC_4h=31.9
3,ETH/USDT,6,Watch,48,15m,5,6,WilliamsR_5m=-83.7 ADX_1h=39.1 RSI_4h=70.5 ADX_4h=29.9 CCI_4h=127.5 ROC_4h=10.1
4,AVAX/USDT,3,Weak,24,15m,5,3,ADX_4h=25.4 CCI_4h=114.6 ROC_4h=5.1
5,PEPE/USDT,3,Weak,24,15m,5,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.7
6,BTC/USDT,2,Weak,16,15m,5,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,5,2,CCI_4h=110.4 ROC_4h=5.5
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,6,11,ADX_5m=39.8 CCI_5m=-213.9 WilliamsR_5m=-100.0 ROC_5m=-7.4 ADX_15m=46.5 ADX_1h=35.6 CCI_1h=148.4 ROC_1h=21.8 ADX_4h=33.5 CCI_4h=216.7 ROC_4h=43.4
2,UNI/USDT,9,🚀 Pump,72,15m,6,9,ADX_15m=31.1 CCI_15m=134.1 RSI_1h=87.9 ADX_1h=68.0 ROC_1h=16.8 RSI_4h=88.8 ADX_4h=37.0 CCI_4h=173.5 ROC_4h=31.8
3,ETH/USDT,6,Watch,48,15m,6,6,WilliamsR_5m=-83.7 ADX_1h=39.1 RSI_4h=70.5 ADX_4h=29.9 CCI_4h=127.5 ROC_4h=10.1
4,AVAX/USDT,3,Weak,24,15m,6,3,ADX_4h=25.4 CCI_4h=115.3 ROC_4h=5.2
5,PEPE/USDT,3,Weak,24,15m,6,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.7
6,BTC/USDT,2,Weak,16,15m,6,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,6,2,CCI_4h=110.6 ROC_4h=5.6
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,7,11,ADX_5m=38.5 CCI_5m=-169.4 WilliamsR_5m=-90.1 ROC_5m=-6.8 ADX_15m=46.4 ADX_1h=35.6 CCI_1h=149.7 ROC_1h=22.7 ADX_4h=33.5 CCI_4h=217.1 ROC_4h=43.9
2,UNI/USDT,9,🚀 Pump,72,15m,7,9,ADX_15m=31.1 CCI_15m=122.1 RSI_1h=87.8 ADX_1h=68.0 ROC_1h=16.6 RSI_4h=88.8 ADX_4h=37.0 CCI_4h=173.1 ROC_4h=31.6
3,ETH/USDT,6,Watch,48,15m,7,6,RSI_1h=70.2 ADX_1h=39.1 RSI_4h=70.8 ADX_4h=29.9 CCI_4h=127.8 ROC_4h=10.1
4,AVAX/USDT,3,Weak,24,15m,7,3,ADX_4h=25.4 CCI_4h=115.6 ROC_4h=5.3
5,PEPE/USDT,3,Weak,24,15m,7,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.7
6,BTC/USDT,2,Weak,16,15m,7,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,7,2,CCI_4h=110.8 ROC_4h=5.6
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,8,11,ADX_5m=38.5 CCI_5m=-161.5 WilliamsR_5m=-86.3 ROC_5m=-6.4 ADX_15m=46.4 ADX_1h=35.6 CCI_1h=150.1 ROC_1h=22.8 ADX_4h=33.5 CCI_4h=217.1 ROC_4h=43.9
2,UNI/USDT,8,🚀 Pump,64,15m,8,8,ADX_15m=30.7 RSI_1h=87.5 ADX_1h=68.0 ROC_1h=16.3 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.5 ROC_4h=31.3
3,ETH/USDT,6,Watch,48,15m,8,6,RSI_1h=70.7 ADX_1h=39.1 RSI_4h=71.0 ADX_4h=29.9 CCI_4h=128.1 ROC_4h=10.2
4,AVAX/USDT,3,Weak,24,15m,8,3,ADX_4h=25.4 CCI_4h=116.3 ROC_4h=5.4
5,PEPE/USDT,3,Weak,24,15m,8,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=9.8
6,BTC/USDT,2,Weak,16,15m,8,2,ADX_1h=29.0 ADX_4h=28.9
7,DOGE/USDT,2,Weak,16,15m,8,2,CCI_4h=111.4 ROC_4h=5.7
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,9,11,ADX_5m=38.5 CCI_5m=-167.2 WilliamsR_5m=-91.0 ROC_5m=-6.9 ADX_15m=46.4 ADX_1h=35.6 CCI_1h=149.3 ROC_1h=22.5 ADX_4h=33.5 CCI_4h=216.8 ROC_4h=43.8
2,UNI/USDT,9,🚀 Pump,72,15m,9,9,ADX_15m=30.7 CCI_15m=105.5 RSI_1h=87.7 ADX_1h=68.0 ROC_1h=16.6 RSI_4h=88.7 ADX_4h=37.0 CCI_4h=173.0 ROC_4h=31.5
3,ETH/USDT,6,Watch,48,15m,9,6,RSI_1h=71.5 ADX_1h=39.1 RSI_4h=71.3 ADX_4h=29.9 CCI_4h=128.4 ROC_4h=10.3
4,BTC/USDT,3,Weak,24,15m,9,3,CCI_15m=104.7 ADX_1h=29.0 ADX_4h=28.9
5,AVAX/USDT,3,Weak,24,15m,9,3,ADX_4h=25.4 CCI_4h=117.0 ROC_4h=5.5
6,PEPE/USDT,3,Weak,24,15m,9,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=10.0
7,DOGE/USDT,2,Weak,16,15m,9,2,CCI_4h=113.9 ROC_4h=5.8
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,10,11,ADX_5m=37.3 CCI_5m=-150.2 WilliamsR_5m=-91.0 ROC_5m=-6.1 ADX_15m=46.4 ADX_1h=35.6 CCI_1h=149.3 ROC_1h=22.5 ADX_4h=33.5 CCI_4h=217.4 ROC_4h=44.1
2,UNI/USDT,9,🚀 Pump,72,15m,10,9,ADX_15m=30.7 CCI_15m=103.8 RSI_1h=87.7 ADX_1h=68.0 ROC_1h=16.5 RSI_4h=88.7 ADX_4h=37.0 CCI_4h=172.8 ROC_4h=31.5
3,ETH/USDT,7,🚀 Pump,56,15m,10,7,RSI_1h=72.8 ADX_1h=39.1 CCI_1h=100.7 RSI_4h=71.9 ADX_4h=29.9 CCI_4h=129.0 ROC_4h=10.4
4,BTC/USDT,4,Watch,32,15m,10,4,CCI_15m=118.4 ADX_1h=29.0 CCI_1h=102.3 ADX_4h=28.9
5,AVAX/USDT,3,Weak,24,15m,10,3,ADX_4h=25.4 CCI_4h=118.0 ROC_4h=5.6
6,PEPE/USDT,3,Weak,24,15m,10,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=10.3
7,DOGE/USDT,2,Weak,16,15m,10,2,CCI_4h=117.6 ROC_4h=6.0
1,LAUNCHCOIN/USDT,10,🔥 HOT,80,15m,11,10,ADX_5m=37.3 CCI_5m=-133.0 ROC_5m=-5.0 ADX_15m=46.4 ADX_1h=35.6 CCI_1h=152.4 ROC_1h=23.8 ADX_4h=33.5 CCI_4h=220.0 ROC_4h=45.5
2,UNI/USDT,9,🚀 Pump,72,15m,11,9,ADX_15m=30.7 CCI_15m=115.4 RSI_1h=88.0 ADX_1h=68.0 ROC_1h=16.8 RSI_4h=88.9 ADX_4h=37.0 CCI_4h=173.7 ROC_4h=31.9
3,ETH/USDT,7,🚀 Pump,56,15m,11,7,RSI_1h=73.5 ADX_1h=39.1 CCI_1h=101.6 RSI_4h=72.2 ADX_4h=29.9 CCI_4h=129.4 ROC_4h=10.5
4,BTC/USDT,4,Watch,32,15m,11,4,CCI_15m=119.8 ADX_1h=29.0 CCI_1h=104.6 ADX_4h=28.9
5,AVAX/USDT,3,Weak,24,15m,11,3,ADX_4h=25.4 CCI_4h=118.7 ROC_4h=5.7
6,PEPE/USDT,3,Weak,24,15m,11,3,ADX_1h=36.6 ADX_4h=30.7 ROC_4h=10.4
7,DOGE/USDT,2,Weak,16,15m,11,2,CCI_4h=117.9 ROC_4h=6.1
1,UNI/USDT,9,🚀 Pump,72,15m,12,9,ADX_15m=30.7 CCI_15m=125.9 RSI_1h=88.1 ADX_1h=68.0 ROC_1h=17.0 RSI_4h=88.9 ADX_4h=37.0 CCI_4h=174.0 ROC_4h=32.0
2,LAUNCHCOIN/USDT,9,🚀 Pump,72,15m,12,9,ADX_5m=36.2 ROC_5m=-6.4 ADX_15m=44.8 ADX_1h=36.3 CCI_1h=113.7 ROC_1h=18.9 ADX_4h=33.5 CCI_4h=220.5 ROC_4h=45.8
3,ETH/USDT,7,🚀 Pump,56,15m,12,7,RSI_1h=74.1 ADX_1h=39.1 CCI_1h=103.1 RSI_4h=72.5 ADX_4h=29.9 CCI_4h=130.0 ROC_4h=10.5
4,BTC/USDT,4,Watch,32,15m,12,4,CCI_15m=117.9 ADX_1h=29.1 CCI_1h=158.2 ADX_4h=28.9
5,AVAX/USDT,4,Watch,32,15m,12,4,CCI_1h=123.9 ADX_4h=25.4 CCI_4h=120.7 ROC_4h=5.8
6,DOGE/USDT,4,Watch,32,15m,12,4,ADX_5m=25.8 CCI_1h=109.6 CCI_4h=117.9 ROC_4h=6.0
7,PEPE/USDT,3,Weak,24,15m,12,3,ADX_1h=35.7 ADX_4h=30.7 ROC_4h=10.5
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,13,11,ADX_5m=36.2 CCI_5m=-127.0 WilliamsR_5m=-97.4 ROC_5m=-8.2 ADX_15m=44.8 ADX_1h=36.3 CCI_1h=102.4 ROC_1h=16.5 ADX_4h=33.5 CCI_4h=214.7 ROC_4h=42.6
2,UNI/USDT,9,🚀 Pump,72,15m,13,9,ADX_15m=30.0 CCI_15m=122.6 RSI_1h=87.8 ADX_1h=68.5 ROC_1h=14.8 RSI_4h=88.9 ADX_4h=37.0 CCI_4h=173.9 ROC_4h=32.0
3,ETH/USDT,8,🚀 Pump,64,15m,13,8,CCI_15m=109.1 RSI_1h=74.6 ADX_1h=39.2 CCI_1h=108.0 RSI_4h=72.8 ADX_4h=29.9 CCI_4h=131.6 ROC_4h=10.7
4,DOGE/USDT,5,Watch,40,15m,13,5,ADX_5m=26.1 CCI_15m=101.0 CCI_1h=113.7 CCI_4h=119.3 ROC_4h=6.1
5,BTC/USDT,4,Watch,32,15m,13,4,CCI_15m=119.1 ADX_1h=29.1 CCI_1h=160.2 ADX_4h=28.9
6,AVAX/USDT,4,Watch,32,15m,13,4,CCI_1h=127.8 ADX_4h=25.4 CCI_4h=122.1 ROC_4h=5.8
7,PEPE/USDT,3,Weak,24,15m,13,3,ADX_1h=35.8 ADX_4h=30.7 ROC_4h=10.1
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,14,11,ADX_5m=35.3 CCI_5m=-111.4 WilliamsR_5m=-90.6 ROC_5m=-7.6 ADX_15m=44.8 ADX_1h=36.2 CCI_1h=103.4 ROC_1h=17.2 ADX_4h=33.5 CCI_4h=216.5 ROC_4h=43.8
2,UNI/USDT,8,🚀 Pump,64,15m,14,8,ADX_15m=30.0 RSI_1h=83.9 ADX_1h=68.5 ROC_1h=14.1 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.4 ROC_4h=31.2
3,ETH/USDT,6,Watch,48,15m,14,6,RSI_1h=70.5 ADX_1h=39.2 RSI_4h=71.0 ADX_4h=29.9 CCI_4h=129.0 ROC_4h=10.2
4,BTC/USDT,4,Watch,32,15m,14,4,CCI_15m=102.2 ADX_1h=29.1 CCI_1h=133.6 ADX_4h=28.9
5,AVAX/USDT,4,Watch,32,15m,14,4,CCI_1h=109.0 ADX_4h=25.4 CCI_4h=118.7 ROC_4h=5.4
6,PEPE/USDT,3,Weak,24,15m,14,3,ADX_1h=35.8 ADX_4h=30.7 ROC_4h=9.6
7,DOGE/USDT,2,Weak,16,15m,14,2,CCI_4h=116.5 ROC_4h=5.7
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,15,11,ADX_5m=35.3 CCI_5m=-105.4 WilliamsR_5m=-88.1 ROC_5m=-7.3 ADX_15m=44.8 ADX_1h=36.2 CCI_1h=104.1 ROC_1h=17.4 ADX_4h=33.5 CCI_4h=216.9 ROC_4h=44.0
2,UNI/USDT,8,🚀 Pump,64,15m,15,8,ADX_15m=30.0 RSI_1h=83.5 ADX_1h=68.5 ROC_1h=14.0 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.4 ROC_4h=31.2
3,ETH/USDT,5,Watch,40,15m,15,5,ADX_1h=39.2 RSI_4h=70.0 ADX_4h=29.9 CCI_4h=127.9 ROC_4h=10.0
4,BTC/USDT,4,Watch,32,15m,15,4,CCI_15m=102.8 ADX_1h=29.1 CCI_1h=134.6 ADX_4h=28.9
5,AVAX/USDT,4,Watch,32,15m,15,4,CCI_1h=107.0 ADX_4h=25.4 CCI_4h=118.4 ROC_4h=5.3
6,PEPE/USDT,3,Weak,24,15m,15,3,ADX_1h=35.8 ADX_4h=30.7 ROC_4h=9.8
7,DOGE/USDT,2,Weak,16,15m,15,2,CCI_4h=116.5 ROC_4h=5.7
1,LAUNCHCOIN/USDT,11,🔥 HOT,88,15m,16,11,ADX_5m=35.3 CCI_5m=-108.1 WilliamsR_5m=-91.9 ROC_5m=-7.7 ADX_15m=44.8 ADX_1h=36.2 CCI_1h=103.3 ROC_1h=17.1 ADX_4h=33.5 CCI_4h=216.3 ROC_4h=43.6
2,UNI/USDT,8,🚀 Pump,64,15m,16,8,ADX_15m=30.0 RSI_1h=83.9 ADX_1h=68.5 ROC_1h=14.1 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.6 ROC_4h=31.3
3,ETH/USDT,5,Watch,40,15m,16,5,ADX_1h=39.2 RSI_4h=70.2 ADX_4h=29.9 CCI_4h=128.2 ROC_4h=10.0
4,BTC/USDT,4,Watch,32,15m,16,4,CCI_15m=103.3 ADX_1h=29.1 CCI_1h=135.4 ADX_4h=28.9
5,AVAX/USDT,4,Watch,32,15m,16,4,CCI_1h=107.0 ADX_4h=25.4 CCI_4h=118.4 ROC_4h=5.3
6,PEPE/USDT,3,Weak,24,15m,16,3,ADX_1h=35.8 ADX_4h=30.7 ROC_4h=9.9
7,DOGE/USDT,2,Weak,16,15m,16,2,CCI_4h=116.8 ROC_4h=5.8
1,LAUNCHCOIN/USDT,10,🔥 HOT,80,15m,17,10,ADX_5m=34.4 WilliamsR_5m=-90.2 ROC_5m=-6.2 ADX_15m=44.8 ADX_1h=36.2 CCI_1h=103.6 ROC_1h=17.2 ADX_4h=33.5 CCI_4h=216.5 ROC_4h=43.8
2,UNI/USDT,8,🚀 Pump,64,15m,17,8,ADX_15m=30.0 RSI_1h=84.0 ADX_1h=68.5 ROC_1h=14.1 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.7 ROC_4h=31.3
3,ETH/USDT,5,Watch,40,15m,17,5,ADX_1h=39.2 RSI_4h=70.7 ADX_4h=29.9 CCI_4h=128.7 ROC_4h=10.1
4,BTC/USDT,4,Watch,32,15m,17,4,CCI_15m=107.2 ADX_1h=29.1 CCI_1h=141.4 ADX_4h=28.9
5,AVAX/USDT,4,Watch,32,15m,17,4,CCI_1h=108.0 ADX_4h=25.4 CCI_4h=118.4 ROC_4h=5.3
6,DOGE/USDT,4,Watch,32,15m,17,4,ADX_5m=25.1 CCI_1h=100.6 CCI_4h=117.5 ROC_4h=5.9
7,PEPE/USDT,3,Weak,24,15m,17,3,ADX_1h=35.8 ADX_4h=30.7 ROC_4h=9.9
1,LAUNCHCOIN/USDT,10,🔥 HOT,80,15m,18,10,ADX_5m=34.4 WilliamsR_5m=-90.2 ROC_5m=-6.2 ADX_15m=44.8 ADX_1h=36.2 CCI_1h=103.8 ROC_1h=17.3 ADX_4h=33.5 CCI_4h=216.1 ROC_4h=43.6
2,UNI/USDT,8,🚀 Pump,64,15m,18,8,ADX_15m=30.0 RSI_1h=83.3 ADX_1h=68.5 ROC_1h=14.0 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.3 ROC_4h=31.1
3,ETH/USDT,5,Watch,40,15m,18,5,ADX_1h=39.2 RSI_4h=70.6 ADX_4h=29.9 CCI_4h=128.6 ROC_4h=10.1
4,BTC/USDT,4,Watch,32,15m,18,4,CCI_15m=105.6 ADX_1h=29.1 CCI_1h=138.9 ADX_4h=28.9
5,AVAX/USDT,4,Watch,32,15m,18,4,CCI_1h=108.0 ADX_4h=25.4 CCI_4h=118.7 ROC_4h=5.4
6,DOGE/USDT,4,Watch,32,15m,18,4,ADX_5m=25.1 CCI_1h=100.2 CCI_4h=117.4 ROC_4h=5.9
7,PEPE/USDT,3,Weak,24,15m,18,3,ADX_1h=35.8 ADX_4h=30.7 ROC_4h=9.8
1,LAUNCHCOIN/USDT,12,🔥 HOT,96,15m,19,12,ADX_5m=34.3 CCI_5m=-105.9 WilliamsR_5m=-96.5 ROC_5m=-5.4 ADX_15m=43.2 WilliamsR_15m=-81.5 ADX_1h=36.2 CCI_1h=100.6 ROC_1h=16.3 ADX_4h=33.5 CCI_4h=213.9 ROC_4h=42.7
2,UNI/USDT,8,🚀 Pump,64,15m,19,8,ADX_15m=28.8 RSI_1h=82.5 ADX_1h=68.5 ROC_1h=13.8 RSI_4h=88.5 ADX_4h=37.0 CCI_4h=172.0 ROC_4h=31.0
3,ETH/USDT,6,Watch,48,15m,19,6,CCI_5m=-153.2 WilliamsR_5m=-85.8 ADX_1h=38.8 ADX_4h=29.9 CCI_4h=124.2 ROC_4h=9.5
4,PEPE/USDT,5,Watch,40,15m,19,5,CCI_5m=-115.9 WilliamsR_5m=-81.5 ADX_1h=35.8 ADX_4h=30.7 ROC_4h=8.9
5,AVAX/USDT,4,Watch,32,15m,19,4,CCI_5m=-124.4 WilliamsR_5m=-93.1 ADX_4h=25.4 CCI_4h=114.3
6,DOGE/USDT,3,Weak,24,15m,19,3,WilliamsR_5m=-85.2 CCI_4h=110.9 ROC_4h=5.1
7,BTC/USDT,2,Weak,16,15m,19,2,ADX_1h=29.1 ADX_4h=28.9
1,LAUNCHCOIN/USDT,12,🔥 HOT,96,15m,20,12,ADX_5m=34.3 CCI_5m=-105.0 WilliamsR_5m=-96.5 ROC_5m=-5.4 ADX_15m=43.2 WilliamsR_15m=-81.5 ADX_1h=36.2 CCI_1h=100.4 ROC_1h=16.2 ADX_4h=33.5 CCI_4h=213.6 ROC_4h=42.6
2,UNI/USDT,8,🚀 Pump,64,15m,20,8,ADX_15m=28.8 RSI_1h=83.6 ADX_1h=68.5 ROC_1h=14.0 RSI_4h=88.6 ADX_4h=37.0 CCI_4h=172.4 ROC_4h=31.2
